BscStartDate,AssetFuncLoc,WONumber,WO_type,WO_text,Cost,Runtime_days
1/07/2006,EXD0004,101798796,PM01,Warranty Vendor to c/o LHS boom cylinder,0,
27/03/2007,EXD0004,100246648,PM01,LHS Boom Cyl Bush,11575,269
28/09/2007,EXD0004,100873629,PM01,LH Boom Cyl replacement,9819,185
14/05/2009,EXD0004,101730966,PM01,Change out lh boom cylinder,27718,594
1/07/2009,EXD0004,101798800,PM01,Change out lH boom cylinder,460,48
31/01/2011,EXD0004,102527461,PM01,CHANGE OUT L/H BOOM CYL,7046,579
23/11/2011,EXD0004,102522560,PM01,Replace l/h boom cylinder,42544,296
